time,open,high,low,close,Fast High,Fast Low,Fast High Max,Fast Low Max,Slow High,Slow Low,Slow High Max,Slow Low Max,Lower Fast High,Lower Fast Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Kijun-Sen line
2025-06-13T10:43:00+02:00,23411,23414,23399,23408,23490.19764640311,23474.6819751359,NaN,NaN,23468.46654370478,23454.941844560868,NaN,NaN,23490.19764640311,23474.6819751359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23469
2025-06-13T10:44:00+02:00,23408,23409,23399,23401,23487.73711166362,23472.388581949963,NaN,NaN,23468.05358159572,23454.553359529193,NaN,NaN,23487.73711166362,23472.388581949963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23469
2025-06-13T10:45:00+02:00,23406,23409,23362,23363,23485.351138582904,23469.043473406025,NaN,NaN,23467.643487279085,23453.910627865796,NaN,NaN,23485.351138582904,23469.043473406025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23451.5
2025-06-13T10:46:00+02:00,23366,23400,23366,23400,23482.76474044403,23465.920943908874,NaN,NaN,23467.173740839648,23453.300137394504,NaN,NaN,23482.76474044403,23465.920943908874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23443.5
2025-06-13T10:47:00+02:00,23401,23405,23395,23396,23480.408233157847,23463.771824396485,NaN,NaN,23466.741978750484,23452.895275329265,NaN,NaN,23480.408233157847,23463.771824396485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23433.5
2025-06-13T10:48:00+02:00,23397,23403,23387,23387,23478.06252912276,23461.44540547538,NaN,NaN,23466.299326120272,23452.43766925059,NaN,NaN,23478.06252912276,23461.44540547538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23432.5
2025-06-13T10:49:00+02:00,23392,23397,23389,23394,23475.60608884631,23459.250090157944,NaN,NaN,23465.818080799992,23451.997129880794,NaN,NaN,23475.60608884631,23459.250090157944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23432.5
2025-06-13T10:50:00+02:00,23396,23403,23387,23403,23473.405904335817,23457.06069348649,NaN,NaN,23465.38184412777,23451.545760923287,NaN,NaN,23473.405904335817,23457.06069348649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23432.5
2025-06-13T10:51:00+02:00,23406,23415,23397,23400,23471.636028446854,23455.24067247175,NaN,NaN,23465.031970210213,23451.166970916875,NaN,NaN,23471.636028446854,23455.24067247175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23432.5
2025-06-13T10:52:00+02:00,23400,23426,23400,23426,23470.253118493918,23453.56671269988,NaN,NaN,23464.76091486153,23450.81164472995,NaN,NaN,23470.253118493918,23453.56671269988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23420
2025-06-13T10:53:00+02:00,23428,23436,23424,23428,23469.215145206224,23452.670751708974,NaN,NaN,23464.561186286104,23450.625452752658,NaN,NaN,23469.215145206224,23452.670751708974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415.5
